yyyy.mm	puri_grow_sales	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_sales
2023.06	6450434835	202849730	202854227	2034	6933731.567	2048613761
2023.07	7526718440	132270137	230044650	1990	6933731.567	2131445092
2023.08	6674892974	97263266	143347731	2077	6933731.567	2257589381
2023.09	5670592387	419167620	192193811	2096	6933731.567	1946655495
2023.10	4978358532	206128784	164927114	1914	6933731.567	1902584178
2023.11	5150403271	122958391	171866397	1911	6933731.567	1868117126
2023.12	4965543369	90239471	232647614	2040	6933731.567	1533274882
2024.01	5422271766	114155344	202622434	1967	26737379.29	2212320777
2024.02	5906895251	278734930	161994251	2011	26737379.29	1611993007
2024.03	5992051798	149604673	133077682	2059	26737379.29	1640653718
2024.04	9244015273	526309446	161163259	2018	26737379.29	1695880536
2024.05	7806148165	193872519	180586649	2045	26737379.29	1890129856
2024.06	8003851405	144791231	176854816	2001	26737379.29	1688230724
2024.07	7833053277	83532383	219753118	2039	26737379.29	2084168167
2024.08	7482663099	161434726	202944813	1964	26737379.29	1650373726
2024.09	4518973614	162607956	190098033	1875	26737379.29	1431658651
2024.10	4167159224	71236750	149718349	1852	26737379.29	1341595574
2024.11	7482663099	112929957	212037248	1995	26737379.29	1636989549
2024.12	6781259990	80910965	182327815	2048	26737379.29	1624713375
