yyyy.mm	puri_sales_count	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_sales
2023.03	1172624.297	270872095	157012107	2039	6933731.567	1670204397
2023.04	1162254.039	286093257	185571948	2114	6933731.567	1435483521
2023.05	1308409.919	227521090	183443324	1979	6933731.567	1923818998
2023.06	1284947.178	202849730	202854227	2034	6933731.567	2048613761
2023.07	1279183.963	132270137	230044650	1990	6933731.567	2131445092
2023.08	1298112.208	97263266	143347731	2077	6933731.567	2257589381
2023.09	1302686.053	419167620	192193811	2096	6933731.567	1946655495
2023.10	1257161.245	206128784	164927114	1914	6933731.567	1902584178
2023.11	1267323.64	122958391	171866397	1911	6933731.567	1868117126
2023.12	1275505.618	90239471	232647614	2040	6933731.567	1533274882
2024.01	1291632.15	114155344	202622434	1967	26737379.29	2212320777
2024.02	1275511.823	278734930	161994251	2011	26737379.29	1611993007
2024.03	1245231.047	149604673	133077682	2059	26737379.29	1640653718
2024.04	1558067.634	526309446	161163259	2018	26737379.29	1695880536
2024.05	1466494.113	193872519	180586649	2045	26737379.29	1890129856
2024.06	1503635.432	144791231	176854816	2001	26737379.29	1688230724
2024.07	1460300.76	83532383	219753118	2039	26737379.29	2084168167
2024.08	1411823.226	161434726	202944813	1964	26737379.29	1650373726
2024.09	1381949.117	162607956	190098033	1875	26737379.29	1431658651
2024.10	1344678.678	71236750	149718349	1852	26737379.29	1341595574
2024.11	2238307.837	112929957	212037248	1995	26737379.29	1636989549
2024.12	1347627.184	80910965	182327815	2048	26737379.29	1624713375
