year	yyyy.mm	puri_grow_new_team	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_ratio
2021	2021.05	1357	79884100	141936402	2524	14369440.33	0.156063315
2021	2021.06	1589	9632313	151158785	2584	14369440.33	0.195981888
2021	2021.07	1467	24310000	150886812	2531	14369440.33	0.18699365
2021	2021.08	1496	28196500	113118097	2590	14369440.33	0.157056277
2021	2021.09	1370	20687500	146914318	2473	14369440.33	0.148284141
2021	2021.1	1362	21380500	121356968	2775	14369440.33	0.091436795
2021	2021.11	1504	24625500	143727130	2806	14369440.33	0.08763643
2021	2021.12	1559	460254700	185205369	2750	14369440.33	0.078746979
2022	2022.01	1514	58518050	123042501	2812	19107831.39	0.042612911
2022	2022.02	1503	12845767	170073986	2899	19107831.39	0.048006763
2022	2022.03	1417	8970906	149492050	2952	19107831.39	0.085754233
2022	2022.04	1378	68790000	171211012	2337	19107831.39	0.063797966
2022	2022.05	1462	15066000	159854085	2160	19107831.39	0.110463814
2022	2022.06	1449	18335122	117705897	2216	19107831.39	0.106537417
2022	2022.07	1484	37671000	155046772	2375	19107831.39	0.094278341
2022	2022.08	1478	35031000	139607707	2116	19107831.39	0.110031168
2022	2022.09	1298	14336140	154692545	2150	19107831.39	0.080479452
2022	2022.1	1236	23324033	150778056	2272	19107831.39	0.177604379
2022	2022.11	1295	26693000	138098139	2578	19107831.39	0.143779687
2022	2022.12	1400	12581938	207799322	2251	19107831.39	0.157905803
2023	2023.01	1478	20777300	162547645	2094	6933731.567	0.098487242
2023	2023.02	1613	13187585	120969050	2077	6933731.567	0.112027006
2023	2023.03	1640	270872095	157012107	2039	6933731.567	0.110973427
2023	2023.04	1744	286093257	185571948	2114	6933731.567	0.094790405
2023	2023.05	1621	227521090	183443324	1979	6933731.567	0.133189177
2023	2023.06	1790	202849730	202854227	2034	6933731.567	0.141054712
2023	2023.07	1859	132270137	230044650	1990	6933731.567	0.166592353
2023	2023.08	1717	97263266	143347731	2077	6933731.567	0.196526823
2023	2023.09	1535	419167620	192193811	2096	6933731.567	0.157706767
2023	2023.1	1416	206128784	164927114	1914	6933731.567	0.148336051
2023	2023.11	1516	122958391	171866397	1911	6933731.567	0.148003583
2023	2023.12	1532	90239471	232647614	2040	6933731.567	0.114449298
2024	2024.01	1601	114155344	202622434	1967	26737379.29	0.110569284
2024	2024.02	1638	278734930	161994251	2011	26737379.29	0.08629156
2024	2024.03	1770	149604673	133077682	2059	26737379.29	0.095854667
2024	2024.04	1756	526309446	161163259	2018	26737379.29	0.122211497
2024	2024.05	2130	193872519	180586649	2045	26737379.29	0.147869816
2024	2024.06	2014	144791231	176854816	2001	26737379.29	0.172484835
2024	2024.07	2177	83532383	219753118	2039	26737379.29	0.158355868
2024	2024.08	2281	161434726	202944813	1964	26737379.29	0.124822615
2024	2024.09	1899	162607956	190098033	1875	26737379.29	0.174982321
2024	2024.1	1841	71236750	149718349	1852	26737379.29	0.150867824
2024	2024.11	1817	112929957	212037248	1995	26737379.29	0.17264203
2024	2024.12	1734	80910965	182327815	2048	26737379.29	0.126444197
