year	yyyy.mm	puri_grow_pure	ad_mass	ad_promotion	people_total	invest_launch_ratio	lease_ratio
2017	2017.11	5654	27738154	173634334	2158	6083946.708	0
2017	2017.12	5344	779319322	138437483	2036	6083946.708	0
2018	2018.01	5694	836783121	143323437	1847	3780306.967	0.114240973
2018	2018.02	4743	52118075	197878862	1722	3780306.967	0.114240973
2018	2018.03	6716	104890664	209464867	2293	3780306.967	0.114240973
2018	2018.04	5865	170112582	236206175	2091	3780306.967	0.014414773
2018	2018.05	5996	138770263	220798736	1947	3780306.967	0.057224367
2018	2018.06	5772	153492893	182000593	2317	3780306.967	0.158677283
2018	2018.07	5652	148842417	225810849	1914	3780306.967	0.133074622
2018	2018.08	6584	134193018	221765824	2126	3780306.967	0.091112214
2018	2018.09	5450	93724711	301437404	2089	3780306.967	0.114471453
2018	2018.1	6162	92489426	262216773	1781	3780306.967	0.187926639
2018	2018.11	4631	116823993	300560297	1707	3780306.967	0.144527596
2018	2018.12	4348	118956247	294930057	1821	3780306.967	0.126739807
2019	2019.01	4777	149842716	192482697	1679	8527857.667	0.112403397
2019	2019.02	4870	119801105	258752680	1805	8527857.667	0.091292483
2019	2019.03	5827	133492388	397704173	2350	8527857.667	0.086377223
2019	2019.04	5772	120536113	428455834	2231	8527857.667	0.223027856
2019	2019.05	6952	188566551	395920028	2332	8527857.667	0.263676618
2019	2019.06	7126	169683025	325736808	2212	8527857.667	0.321439701
2019	2019.07	7713	122682446	226738705	2310	8527857.667	0.302230813
2019	2019.08	7294	130740684	431068157	2200	8527857.667	0.315442389
2019	2019.09	6769	148501948	363979962	2208	8527857.667	0.249906936
2019	2019.1	6930	101107262	306329965	2940	8527857.667	0.26191681
2019	2019.11	7864	98438198	341971618	3133	8527857.667	0.221091542
2019	2019.12	8829	626221878	472690840	3115	8527857.667	0.230979518
2020	2020.01	8496	140681855	274223037	3143	6061989.963	0.191484125
2020	2020.02	7605	208368212	252923793	3171	6061989.963	0.14266693
2020	2020.03	7514	195591024	405598852	2972	6061989.963	0.178622522
2020	2020.04	8298	495348719	243544543	2864	6061989.963	0.203943801
2020	2020.05	8938	47732813	252296953	2909	6061989.963	0.177533955
2020	2020.06	9716	314268036	228559747	2926	6061989.963	0.233172165
2020	2020.07	9312	1152474461	203275531	2731	6061989.963	0.2
2020	2020.08	8980	514976542	146971600	2584	6061989.963	0.195000768
2020	2020.09	8419	34623700	202167677	2453	6061989.963	0.239488214
2020	2020.1	9105	47512352	110005116	2428	6061989.963	0.172523797
2020	2020.11	9124	38214615	159058032	2448	6061989.963	0.161451223
2020	2020.12	7751	555517143	178329149	2545	6061989.963	0.232924212
2021	2021.01	7831	232970000	82500070	2375	14369440.33	0.16052471
2021	2021.02	7628	253155060	120531689	2433	14369440.33	0.134388001
2021	2021.03	10648	79432510	159688633	2566	14369440.33	0.150335515
2021	2021.04	10042	118646725	177997824	2556	14369440.33	0.157602664
2021	2021.05	11056	79884100	141936402	2524	14369440.33	0.156063315
2021	2021.06	11241	9632313	151158785	2584	14369440.33	0.195981888
2021	2021.07	11615	24310000	150886812	2531	14369440.33	0.18699365
2021	2021.08	10010	28196500	113118097	2590	14369440.33	0.157056277
2021	2021.09	8220	20687500	146914318	2473	14369440.33	0.148284141
2021	2021.1	9216	21380500	121356968	2775	14369440.33	0.091436795
2021	2021.11	7751	24625500	143727130	2806	14369440.33	0.08763643
2021	2021.12	8282	460254700	185205369	2750	14369440.33	0.078746979
2022	2022.01	10853	58518050	123042501	2812	19107831.39	0.042612911
2022	2022.02	8910	12845767	170073986	2899	19107831.39	0.048006763
2022	2022.03	8664	8970906	149492050	2952	19107831.39	0.085754233
2022	2022.04	8138	68790000	171211012	2337	19107831.39	0.063797966
2022	2022.05	8044	15066000	159854085	2160	19107831.39	0.110463814
2022	2022.06	8049	18335122	117705897	2216	19107831.39	0.106537417
2022	2022.07	9297	37671000	155046772	2375	19107831.39	0.094278341
2022	2022.08	8404	35031000	139607707	2116	19107831.39	0.110031168
2022	2022.09	7463	14336140	154692545	2150	19107831.39	0.080479452
2022	2022.1	6631	23324033	150778056	2272	19107831.39	0.177604379
2022	2022.11	6484	26693000	138098139	2578	19107831.39	0.143779687
2022	2022.12	7556	12581938	207799322	2251	19107831.39	0.157905803
2023	2023.01	7112	20777300	162547645	2094	6933731.567	0.098487242
2023	2023.02	8232	13187585	120969050	2077	6933731.567	0.112027006
2023	2023.03	7906	270872095	157012107	2039	6933731.567	0.110973427
2023	2023.04	8055	286093257	185571948	2114	6933731.567	0.094790405
2023	2023.05	7578	227521090	183443324	1979	6933731.567	0.133189177
2023	2023.06	8238	202849730	202854227	2034	6933731.567	0.141054712
2023	2023.07	8605	132270137	230044650	1990	6933731.567	0.166592353
2023	2023.08	7643	97263266	143347731	2077	6933731.567	0.196526823
2023	2023.09	6945	419167620	192193811	2096	6933731.567	0.157706767
2023	2023.1	6345	206128784	164927114	1914	6933731.567	0.148336051
2023	2023.11	6590	122958391	171866397	1911	6933731.567	0.148003583
2023	2023.12	6120	90239471	232647614	2040	6933731.567	0.114449298
2024	2024.01	6593	114155344	202622434	1967	26737379.29	0.110569284
2024	2024.02	6862	278734930	161994251	2011	26737379.29	0.08629156
2024	2024.03	7331	149604673	133077682	2059	26737379.29	0.095854667
2024	2024.04	8588	526309446	161163259	2018	26737379.29	0.122211497
2024	2024.05	8510	193872519	180586649	2045	26737379.29	0.147869816
2024	2024.06	8568	144791231	176854816	2001	26737379.29	0.172484835
2024	2024.07	8801	83532383	219753118	2039	26737379.29	0.158355868
2024	2024.08	8922	161434726	202944813	1964	26737379.29	0.124822615
2024	2024.09	6469	162607956	190098033	1875	26737379.29	0.174982321
2024	2024.1	6190	71236750	149718349	1852	26737379.29	0.150867824
2024	2024.11	6243	112929957	212037248	1995	26737379.29	0.17264203
2024	2024.12	8328	80910965	182327815	2048	26737379.29	0.126444197
